event_date,country,partner_network,revenue,duration,total_mb
2026-02-21,Zimbabwe,Econet Wireless,50.28,50.85,996.7
2026-02-22,Kenya,Telkom Kenya,18.35,18.53,1337.33
2026-02-22,South Africa,Cell C,22.35,7.45,759.31
2026-02-22,South Africa,Vodacom SA,31.31,74.12,1413.39
2026-02-22,Kenya,Airtel Kenya,78.33,61.6,1420.2
2026-02-22,Zimbabwe,Econet Wireless,40.81,95.77,818.18
2026-02-24,Mozambique,Tmcel,17.09,26.36,642.19
2026-02-24,Zimbabwe,Econet Wireless,21.4,143.46,455.54
2026-02-25,Tanzania,Tigo Tanzania,34.94,44.65,954.4
2026-02-25,Tanzania,Airtel Tanzania,20.59,63.19,137.67
2026-02-25,South Africa,MTN South Africa,28.05,81.34,1138.33
2026-02-26,South Africa,Vodacom SA,68.68,73.75,988.42
2026-02-26,Tanzania,Vodacom Tanzania,31.46,73.39,502.07
2026-02-26,South Africa,Cell C,57.24,115.47,1988.94
2026-02-27,Mozambique,Movitel,118.72,170.22,1770.49
2026-02-27,Zimbabwe,Econet Wireless,71.57,42.13,1846.3
2026-02-28,Zimbabwe,NetOne,15.8,3.75,299.51
2026-02-28,Tanzania,Vodacom Tanzania,30.16,25.63,591.09
2026-03-01,Mozambique,Movitel,46.02,119.3,631.17
2026-03-02,Mozambique,Vodacom Mozambique,61.36,169.79,913.6
2026-03-03,South Africa,Cell C,42.57,29.64,1395.22
2026-03-04,Zimbabwe,NetOne,33.5,138.58,699.98
2026-03-04,Mozambique,Movitel,42.64,89.02,1183.85
2026-03-04,Mozambique,Tmcel,26.84,34.3,1062.75
2026-03-04,South Africa,MTN South Africa,40.41,125.13,1048.62
2026-03-05,South Africa,Vodacom SA,4.47,12.46,47.97
2026-03-05,Tanzania,Tigo Tanzania,20.19,111.02,452.68
2026-03-05,South Africa,Vodacom SA,71.87,146.12,1206.13
2026-03-06,Mozambique,Vodacom Mozambique,38.97,76.15,1626.94
2026-03-07,Zimbabwe,Econet Wireless,31.03,13.28,1568.22
2026-03-08,Zimbabwe,NetOne,48.69,143.93,229.58
2026-03-08,Zimbabwe,Econet Wireless,27.35,12.77,818.44
2026-03-09,Tanzania,Vodacom Tanzania,51.92,160.26,1521.76
2026-03-09,Kenya,Safaricom,99.72,178.66,1776.38
2026-03-10,South Africa,Cell C,49.01,101.48,541.78
2026-03-10,Tanzania,Vodacom Tanzania,51.85,115.77,1790.82
2026-03-10,Kenya,Airtel Kenya,44.03,111.15,1855.67
2026-03-10,Tanzania,Tigo Tanzania,35.0,93.96,309.29
2026-03-11,Mozambique,Vodacom Mozambique,36.52,134.55,444.52
2026-03-11,Zimbabwe,Telecel Zimbabwe,40.01,49.1,851.26
2026-03-12,South Africa,Cell C,33.38,74.76,1397.92
2026-03-12,Mozambique,Vodacom Mozambique,41.33,50.23,1298.38
2026-03-13,Tanzania,Vodacom Tanzania,15.99,13.78,343.98
2026-03-13,Zimbabwe,Telecel Zimbabwe,48.81,109.99,869.71
2026-03-14,Kenya,Safaricom,103.94,132.35,1977.46
2026-03-14,Kenya,Safaricom,10.54,17.33,179.4
2026-03-14,South Africa,Cell C,6.61,9.91,171.67
2026-03-15,Tanzania,Tigo Tanzania,77.39,165.31,796.49
2026-03-15,South Africa,MTN South Africa,16.3,92.07,252.94
2026-03-15,Tanzania,Airtel Tanzania,35.58,130.08,392.83
2026-03-15,Kenya,Telkom Kenya,65.7,90.95,1833.73
2026-03-16,Tanzania,Tigo Tanzania,32.59,38.5,550.44
2026-03-17,Kenya,Safaricom,67.16,177.37,546.81
2026-03-17,Kenya,Safaricom,94.27,176.55,1096.21
2026-03-17,Tanzania,Vodacom Tanzania,42.25,9.23,1631.52
2026-03-18,South Africa,Cell C,50.54,98.83,381.01
2026-03-19,Zimbabwe,Telecel Zimbabwe,28.54,54.87,1124.44
2026-03-19,Kenya,Safaricom,54.71,168.17,79.24
2026-03-19,Zimbabwe,Telecel Zimbabwe,58.23,161.57,1694.54
2026-03-19,Zimbabwe,Econet Wireless,22.8,88.65,291.63
2026-03-20,Mozambique,Vodacom Mozambique,33.46,94.86,497.3
2026-03-20,Tanzania,Vodacom Tanzania,95.38,173.1,1204.31
2026-03-20,Kenya,Airtel Kenya,58.37,53.17,1424.8
2026-03-22,Kenya,Telkom Kenya,99.44,90.06,1893.37
2026-03-22,Tanzania,Vodacom Tanzania,57.76,2.66,1165.35
2026-03-23,Zimbabwe,NetOne,22.43,26.09,379.87
2026-03-23,South Africa,Cell C,53.14,69.55,1753.83
2026-03-23,Zimbabwe,NetOne,95.89,122.32,1477.86
2026-03-23,Tanzania,Tigo Tanzania,42.07,155.32,102.66
2026-03-23,Zimbabwe,Telecel Zimbabwe,37.28,121.19,448.36
2026-03-26,Tanzania,Tigo Tanzania,76.44,179.13,1332.7
2026-03-26,Zimbabwe,Telecel Zimbabwe,16.03,27.82,675.34
2026-03-26,Zimbabwe,Telecel Zimbabwe,64.39,33.21,1573.24
2026-03-27,Tanzania,Airtel Tanzania,25.21,24.45,593.44
2026-03-27,Zimbabwe,NetOne,34.63,17.28,1047.7
2026-03-27,Tanzania,Tigo Tanzania,28.77,75.09,1154.24
2026-03-28,Tanzania,Vodacom Tanzania,61.88,124.06,1747.5
2026-03-28,South Africa,Cell C,48.16,19.4,1598.78
2026-03-29,Zimbabwe,NetOne,16.63,24.71,718.03
2026-03-29,Tanzania,Tigo Tanzania,49.02,35.37,2047.95
2026-03-30,Tanzania,Vodacom Tanzania,12.35,17.6,202.59
2026-04-01,Mozambique,Tmcel,4.18,8.21,68.39
2026-04-01,Mozambique,Movitel,83.57,170.52,1328.27
2026-04-01,Mozambique,Movitel,68.47,152.32,755.93
2026-04-02,South Africa,Vodacom SA,28.96,119.15,819.07
2026-04-02,Zimbabwe,Telecel Zimbabwe,88.4,150.17,1652.07
2026-04-02,Mozambique,Tmcel,68.0,87.0,1076.01
2026-04-03,Tanzania,Vodacom Tanzania,82.37,142.17,1222.59
2026-04-03,Kenya,Telkom Kenya,21.36,34.02,1313.5
2026-04-04,Tanzania,Tigo Tanzania,28.17,58.23,1108.53
2026-04-04,Kenya,Telkom Kenya,24.17,65.25,609.47
2026-04-05,South Africa,Cell C,18.61,64.17,108.25
2026-04-06,Tanzania,Tigo Tanzania,85.29,51.17,1610.53
2026-04-07,Kenya,Telkom Kenya,22.64,111.38,940.41
2026-04-07,Tanzania,Vodacom Tanzania,44.26,81.5,717.14
2026-04-07,South Africa,Cell C,31.18,58.66,510.75
2026-04-09,South Africa,Vodacom SA,54.59,108.83,1558.12
2026-04-09,South Africa,MTN South Africa,61.92,116.76,1889.11
2026-04-10,Zimbabwe,Telecel Zimbabwe,32.58,104.67,858.11
2026-04-11,Zimbabwe,Telecel Zimbabwe,34.47,76.74,437.7
2026-04-12,South Africa,MTN South Africa,65.38,128.39,1300.06
2026-04-13,Kenya,Airtel Kenya,19.74,6.2,691.71
2026-04-13,Tanzania,Tigo Tanzania,65.71,42.27,1478.58
2026-04-13,Mozambique,Vodacom Mozambique,48.98,123.51,577.8
2026-04-14,South Africa,Cell C,38.09,138.02,70.82
2026-04-14,Zimbabwe,NetOne,71.46,4.07,1666.28
2026-04-15,South Africa,Cell C,75.05,79.02,1668.5
2026-04-16,South Africa,MTN South Africa,108.21,150.24,1442.33
2026-04-16,Zimbabwe,NetOne,44.66,95.32,635.1
2026-04-16,Kenya,Telkom Kenya,111.9,95.42,1979.09
2026-04-16,Mozambique,Movitel,74.13,36.14,1958.83
2026-04-16,Kenya,Telkom Kenya,77.42,98.25,1014.06
2026-04-17,Tanzania,Airtel Tanzania,25.25,154.87,150.42
2026-04-17,Kenya,Telkom Kenya,3.83,7.57,184.91
2026-04-17,Zimbabwe,NetOne,51.79,63.94,1185.69
2026-04-17,South Africa,MTN South Africa,70.04,102.25,1583.31
2026-04-18,Mozambique,Vodacom Mozambique,65.49,156.1,781.6
2026-04-18,Zimbabwe,Telecel Zimbabwe,50.99,49.94,1710.34
2026-04-18,Zimbabwe,NetOne,100.39,171.48,1055.95
2026-04-19,Zimbabwe,NetOne,37.25,104.35,1444.44
2026-04-20,Tanzania,Airtel Tanzania,40.93,38.1,1445.29
2026-04-21,Mozambique,Tmcel,51.31,96.61,565.42
2026-04-21,Kenya,Safaricom,53.31,18.4,1817.67
2026-04-21,South Africa,Vodacom SA,79.46,58.76,1454.17
2026-04-21,Kenya,Safaricom,41.39,145.04,1404.44
2026-04-21,Mozambique,Vodacom Mozambique,117.34,168.75,1970.52
2026-04-23,Tanzania,Tigo Tanzania,46.88,2.09,1782.13
2026-04-23,Zimbabwe,NetOne,71.14,178.05,1114.41
2026-04-24,South Africa,Cell C,51.39,90.36,1812.41
2026-04-25,Zimbabwe,Telecel Zimbabwe,95.6,139.28,1676.96
2026-04-27,Mozambique,Vodacom Mozambique,38.04,90.03,884.83
2026-04-28,Mozambique,Movitel,90.36,105.48,1632.77
2026-04-30,Zimbabwe,Econet Wireless,25.98,107.91,320.14
2026-05-02,Zimbabwe,NetOne,31.96,119.41,145.88
2026-05-02,Mozambique,Tmcel,108.3,178.95,1914.35
2026-05-03,Tanzania,Airtel Tanzania,39.36,172.52,1323.64
2026-05-04,Tanzania,Tigo Tanzania,41.85,15.14,1964.85
2026-05-04,Zimbabwe,Econet Wireless,50.65,107.85,1607.61
2026-05-05,Mozambique,Movitel,102.15,50.38,1983.05
2026-05-05,South Africa,Cell C,19.87,58.96,360.98
2026-05-05,Mozambique,Movitel,49.61,44.16,1347.46
2026-05-07,Mozambique,Movitel,41.36,3.49,1101.22
2026-05-07,Zimbabwe,Telecel Zimbabwe,81.48,122.61,1951.55
2026-05-08,Tanzania,Airtel Tanzania,101.65,59.06,1928.3
2026-05-09,South Africa,Cell C,74.83,11.74,1959.38
2026-05-10,Kenya,Telkom Kenya,35.05,36.5,1214.66
2026-05-11,Tanzania,Vodacom Tanzania,40.83,82.39,694.51
2026-05-11,South Africa,Cell C,32.65,44.35,1174.76
2026-05-11,Zimbabwe,Econet Wireless,51.18,90.37,1342.36
2026-05-12,Kenya,Airtel Kenya,57.51,44.67,1345.33
2026-05-12,South Africa,MTN South Africa,98.0,135.92,1954.09
2026-05-12,Kenya,Safaricom,81.0,88.11,1102.87
2026-05-13,Zimbabwe,NetOne,57.53,106.07,715.81
2026-05-15,Zimbabwe,NetOne,30.49,43.2,2036.82
2026-05-15,Mozambique,Movitel,21.87,30.08,496.28
2026-05-15,Tanzania,Airtel Tanzania,61.81,69.0,1766.47
2026-05-16,Tanzania,Vodacom Tanzania,49.85,179.52,287.61
2026-05-17,Kenya,Airtel Kenya,5.63,21.62,47.61
2026-05-18,Tanzania,Tigo Tanzania,86.78,120.95,1757.35
2026-05-19,Tanzania,Airtel Tanzania,65.94,169.46,869.06
2026-05-19,Kenya,Telkom Kenya,59.36,14.2,1991.57
2026-05-19,Kenya,Safaricom,68.14,130.75,1148.13
2026-05-21,Zimbabwe,Telecel Zimbabwe,91.12,132.5,1639.13
2026-05-21,Tanzania,Vodacom Tanzania,81.82,85.18,1535.26
2026-05-21,Kenya,Safaricom,46.36,78.6,744.95
2026-05-21,Tanzania,Tigo Tanzania,39.61,81.29,1878.67
2026-05-22,Zimbabwe,Telecel Zimbabwe,36.41,129.6,321.25
2026-05-22,Tanzania,Tigo Tanzania,40.09,152.31,412.0
2026-05-23,Mozambique,Movitel,62.34,128.52,911.2
2026-05-23,Mozambique,Tmcel,51.38,64.15,1170.87
2026-05-24,Zimbabwe,Telecel Zimbabwe,41.28,118.19,954.97
2026-05-24,Mozambique,Vodacom Mozambique,20.07,18.65,458.55
2026-05-25,Tanzania,Airtel Tanzania,62.13,141.77,896.55
2026-05-25,Mozambique,Vodacom Mozambique,96.95,147.19,1812.3
2026-05-25,Tanzania,Airtel Tanzania,86.61,176.42,1941.57
2026-05-26,Tanzania,Tigo Tanzania,63.41,28.11,1415.69
2026-05-27,South Africa,MTN South Africa,73.31,18.78,1405.84
2026-05-27,Tanzania,Tigo Tanzania,31.3,106.86,724.02
2026-05-27,Zimbabwe,NetOne,50.86,135.68,1606.3
2026-05-27,Tanzania,Airtel Tanzania,39.33,86.76,417.82
2026-05-29,Zimbabwe,Econet Wireless,53.8,170.23,93.59
2026-05-29,Kenya,Safaricom,84.41,64.69,1927.75
2026-05-30,Kenya,Airtel Kenya,34.63,131.6,643.54
2026-05-31,Mozambique,Movitel,48.51,37.08,1621.24
2026-05-31,Mozambique,Movitel,63.91,121.06,1005.02
2026-05-31,Tanzania,Vodacom Tanzania,84.12,143.43,817.53
2026-06-01,Zimbabwe,NetOne,54.36,96.22,1687.13
2026-06-01,Mozambique,Tmcel,38.56,74.87,855.93
2026-06-02,Kenya,Airtel Kenya,22.11,90.03,188.97
2026-06-02,Tanzania,Vodacom Tanzania,64.89,145.78,680.59
2026-06-03,South Africa,Vodacom SA,63.43,147.17,945.4
2026-06-03,Kenya,Airtel Kenya,97.12,61.99,1977.51
2026-06-03,Mozambique,Tmcel,73.82,159.28,1151.96
2026-06-03,Mozambique,Tmcel,19.95,25.72,428.6
2026-06-04,South Africa,Cell C,28.83,16.18,1058.07
2026-06-04,Zimbabwe,Econet Wireless,89.74,82.52,1815.38
2026-06-04,Kenya,Airtel Kenya,71.68,177.93,1623.86
2026-06-04,Kenya,Telkom Kenya,76.87,36.7,1974.28
2026-06-05,South Africa,Cell C,49.28,109.19,422.82
2026-06-06,Tanzania,Tigo Tanzania,45.76,99.79,1115.23
2026-06-06,Tanzania,Airtel Tanzania,53.82,156.8,1648.05
2026-06-06,Tanzania,Tigo Tanzania,22.51,18.47,1480.03
2026-06-07,Mozambique,Tmcel,37.32,138.08,267.3
2026-06-07,Tanzania,Airtel Tanzania,62.65,1.44,1586.56
2026-06-07,Tanzania,Airtel Tanzania,38.53,137.44,98.86
2026-06-08,Zimbabwe,Econet Wireless,81.74,124.62,1324.58
2026-06-08,Zimbabwe,NetOne,55.82,169.09,576.51
2026-06-08,South Africa,Vodacom SA,9.23,25.3,156.29
2026-06-09,Tanzania,Tigo Tanzania,57.92,149.27,695.03
2026-06-10,Zimbabwe,Telecel Zimbabwe,17.23,3.94,1057.91
2026-06-10,Kenya,Safaricom,75.11,144.7,1480.89
2026-06-11,Zimbabwe,NetOne,73.72,79.36,1226.79
2026-06-11,Tanzania,Vodacom Tanzania,18.25,18.49,479.27
2026-06-11,South Africa,MTN South Africa,75.11,179.59,991.3
2026-06-12,Zimbabwe,Telecel Zimbabwe,30.78,88.68,1155.05
2026-06-12,Kenya,Airtel Kenya,64.76,11.82,1307.88
2026-06-12,Kenya,Telkom Kenya,86.33,7.58,1983.5
2026-06-14,Zimbabwe,Econet Wireless,27.93,58.12,958.0
2026-06-14,Kenya,Airtel Kenya,52.27,101.94,1146.62
2026-06-15,Mozambique,Movitel,13.38,16.01,332.52
2026-06-16,Tanzania,Tigo Tanzania,43.62,116.16,68.64
2026-06-16,South Africa,Cell C,19.73,69.15,288.65
2026-06-17,Zimbabwe,NetOne,69.93,176.51,1706.06
2026-06-17,Mozambique,Tmcel,33.28,12.38,920.83
2026-06-17,Mozambique,Tmcel,33.61,121.01,1043.84
2026-06-17,Tanzania,Vodacom Tanzania,84.02,171.66,1116.56
2026-06-17,Kenya,Airtel Kenya,68.64,172.25,944.09
2026-06-18,Mozambique,Tmcel,21.55,59.02,44.79
2026-06-18,South Africa,Vodacom SA,28.22,172.98,168.67
2026-06-18,South Africa,Cell C,13.28,42.68,209.7
2026-06-18,Tanzania,Vodacom Tanzania,60.98,165.19,234.24
2026-06-18,South Africa,Cell C,134.12,176.19,1710.54
2026-06-20,Kenya,Airtel Kenya,78.08,78.97,1498.49
2026-06-21,Mozambique,Tmcel,68.94,13.25,1294.46
2026-06-21,Tanzania,Tigo Tanzania,58.6,136.25,290.92
2026-06-23,Kenya,Safaricom,39.5,134.11,974.76
2026-06-24,Zimbabwe,NetOne,71.34,77.17,1528.95
2026-06-24,South Africa,MTN South Africa,28.9,35.12,1229.53
2026-06-24,Tanzania,Vodacom Tanzania,55.82,70.16,925.07
2026-06-25,South Africa,Vodacom SA,102.84,82.71,1642.29
2026-06-25,Tanzania,Vodacom Tanzania,20.22,36.63,1045.14
2026-06-27,Zimbabwe,NetOne,35.18,155.7,1286.41
2026-06-28,Tanzania,Tigo Tanzania,73.62,23.26,1411.97
2026-06-28,Mozambique,Tmcel,30.78,28.47,924.19
2026-06-28,Tanzania,Airtel Tanzania,50.78,51.31,1105.7
2026-06-29,Zimbabwe,NetOne,21.83,44.5,971.28
2026-06-29,Kenya,Telkom Kenya,50.84,115.38,1022.49
2026-06-29,Mozambique,Movitel,97.4,139.75,1686.97
2026-06-30,South Africa,MTN South Africa,39.83,8.95,895.87
2026-07-01,Zimbabwe,Econet Wireless,35.73,134.89,121.79
2026-07-03,Tanzania,Vodacom Tanzania,33.55,136.83,331.18
2026-07-03,Kenya,Airtel Kenya,36.65,102.78,128.05
2026-07-03,Kenya,Telkom Kenya,37.88,15.08,1783.48
2026-07-05,Kenya,Telkom Kenya,57.63,46.0,1135.24
2026-07-05,Tanzania,Tigo Tanzania,87.67,110.66,1474.48
2026-07-05,Tanzania,Airtel Tanzania,75.64,2.82,1941.89
2026-07-05,Zimbabwe,Econet Wireless,62.62,139.85,782.11
2026-07-05,Zimbabwe,NetOne,56.06,82.22,1241.89
2026-07-05,Mozambique,Vodacom Mozambique,72.76,138.64,1348.48
2026-07-07,Mozambique,Tmcel,33.39,36.59,1332.71
2026-07-07,Tanzania,Vodacom Tanzania,70.34,17.35,1970.18
2026-07-08,South Africa,Cell C,40.79,131.51,338.83
2026-07-08,Kenya,Airtel Kenya,50.39,139.86,475.13
2026-07-08,Kenya,Airtel Kenya,47.61,49.9,1547.35
2026-07-09,Kenya,Telkom Kenya,48.98,123.28,1021.73
2026-07-09,Tanzania,Vodacom Tanzania,64.61,71.34,1264.51
2026-07-10,Zimbabwe,Telecel Zimbabwe,70.67,69.82,1190.61
2026-07-10,Zimbabwe,Econet Wireless,36.05,90.96,349.52
2026-07-10,Zimbabwe,NetOne,71.59,174.44,671.79
2026-07-10,South Africa,MTN South Africa,43.49,107.0,799.39
2026-07-11,Mozambique,Movitel,43.32,118.67,1159.76
2026-07-11,South Africa,Vodacom SA,137.04,155.76,1999.39
2026-07-11,Kenya,Telkom Kenya,54.67,165.64,185.05
2026-07-12,South Africa,Vodacom SA,31.17,23.59,1372.7
2026-07-12,South Africa,Cell C,37.3,79.34,844.38
2026-07-12,Zimbabwe,Econet Wireless,14.36,24.03,202.52
2026-07-13,Mozambique,Tmcel,44.33,116.69,636.15
2026-07-14,Kenya,Safaricom,101.25,111.29,1608.45
2026-07-16,Mozambique,Vodacom Mozambique,22.86,133.74,505.31
2026-07-16,Zimbabwe,Econet Wireless,68.86,123.55,1726.95
2026-07-16,Zimbabwe,Telecel Zimbabwe,41.54,36.61,768.91
2026-07-16,Tanzania,Vodacom Tanzania,37.89,133.68,1132.08
2026-07-16,Tanzania,Airtel Tanzania,36.47,87.74,493.78
2026-07-16,Tanzania,Tigo Tanzania,15.0,46.7,24.2
2026-07-17,Kenya,Telkom Kenya,28.42,58.05,855.55
2026-07-18,Mozambique,Vodacom Mozambique,36.77,73.07,698.2
2026-07-18,South Africa,Vodacom SA,36.81,45.35,899.34
2026-07-20,Zimbabwe,Econet Wireless,56.07,120.55,1138.05
2026-07-20,Zimbabwe,Telecel Zimbabwe,73.32,155.92,883.63
2026-07-20,Kenya,Safaricom,65.75,107.51,1921.34
2026-07-20,Kenya,Airtel Kenya,97.69,97.07,1735.77
2026-07-20,Kenya,Airtel Kenya,63.14,123.56,854.13
2026-07-21,Kenya,Airtel Kenya,56.69,76.82,959.13
2026-07-21,Kenya,Airtel Kenya,87.46,2.45,1772.33
2026-07-21,Zimbabwe,Econet Wireless,35.85,60.67,1195.54
2026-07-21,Zimbabwe,Telecel Zimbabwe,61.62,162.46,694.76
2026-07-21,Kenya,Safaricom,35.47,2.18,1132.01
2026-07-22,Mozambique,Tmcel,66.15,162.11,1041.05
2026-07-22,Mozambique,Vodacom Mozambique,27.14,116.05,282.23
2026-07-22,Zimbabwe,Econet Wireless,37.65,117.98,715.49
2026-07-22,Zimbabwe,Econet Wireless,36.37,75.03,567.14
2026-07-22,Kenya,Safaricom,28.28,139.22,608.46
2026-07-23,South Africa,Vodacom SA,73.84,122.78,1222.25
2026-07-24,Tanzania,Vodacom Tanzania,20.05,48.54,272.38
2026-07-24,Zimbabwe,NetOne,87.78,106.13,1489.44
2026-07-24,Mozambique,Vodacom Mozambique,68.86,176.72,980.44
2026-07-25,South Africa,MTN South Africa,64.9,22.46,1823.86
2026-07-25,Zimbabwe,NetOne,92.85,171.79,1285.55
2026-07-25,Tanzania,Airtel Tanzania,60.92,69.2,1309.56
2026-07-26,Zimbabwe,Econet Wireless,47.46,14.22,1936.12
2026-07-26,Tanzania,Airtel Tanzania,56.64,87.67,1960.84
2026-07-27,Zimbabwe,NetOne,62.41,23.97,1698.76
2026-07-27,South Africa,Vodacom SA,93.63,173.65,2002.87
2026-07-28,South Africa,MTN South Africa,93.58,78.2,1943.55
2026-07-29,Kenya,Airtel Kenya,77.97,81.04,1489.88
2026-07-29,Zimbabwe,Econet Wireless,50.28,80.79,804.09
2026-07-29,South Africa,Cell C,42.03,55.03,1791.45
2026-07-30,South Africa,Cell C,31.07,39.3,852.58
2026-07-31,Tanzania,Airtel Tanzania,39.99,23.78,863.97
2026-07-31,Tanzania,Airtel Tanzania,47.91,108.47,252.32
2026-07-31,South Africa,Cell C,82.6,156.45,1007.87
2026-07-31,Tanzania,Vodacom Tanzania,21.24,20.55,1518.64
2026-07-31,South Africa,MTN South Africa,108.67,123.44,1737.19
2026-08-01,Tanzania,Tigo Tanzania,26.91,31.03,1245.61
2026-08-01,South Africa,Vodacom SA,55.49,90.47,891.48
2026-08-03,South Africa,MTN South Africa,88.98,143.79,1703.31
2026-08-05,Tanzania,Airtel Tanzania,62.1,177.86,710.59
2026-08-05,South Africa,Vodacom SA,96.29,132.85,1620.54
2026-08-05,Kenya,Airtel Kenya,55.8,14.24,2029.0
2026-08-07,Tanzania,Airtel Tanzania,70.57,104.81,1353.26
2026-08-07,South Africa,Vodacom SA,73.99,49.05,1381.31
2026-08-08,Kenya,Safaricom,54.38,78.08,2037.99
2026-08-08,Tanzania,Tigo Tanzania,30.2,66.5,823.39
2026-08-09,South Africa,Vodacom SA,43.61,163.82,672.49
2026-08-10,South Africa,MTN South Africa,22.01,29.5,1437.71
2026-08-10,South Africa,Cell C,38.47,122.5,1140.6
2026-08-11,Zimbabwe,Econet Wireless,12.59,106.7,69.93
2026-08-11,South Africa,Cell C,23.51,32.23,332.16
2026-08-13,Mozambique,Movitel,69.41,176.12,1558.44
2026-08-13,Zimbabwe,NetOne,51.13,75.44,1127.09
2026-08-14,Mozambique,Vodacom Mozambique,55.41,83.03,2044.84
2026-08-14,Mozambique,Tmcel,43.67,19.21,1786.45
2026-08-15,South Africa,Cell C,129.23,130.63,2007.02
2026-08-15,Tanzania,Vodacom Tanzania,21.73,8.94,1120.51
2026-08-15,Zimbabwe,NetOne,21.09,44.13,465.38
2026-08-16,Mozambique,Vodacom Mozambique,42.84,73.54,775.56
2026-08-17,Zimbabwe,NetOne,63.31,86.38,1931.02
2026-08-17,South Africa,Vodacom SA,59.73,39.73,994.22
2026-08-17,South Africa,Cell C,27.7,38.77,1354.25
2026-08-18,South Africa,MTN South Africa,82.36,91.01,1778.76
2026-08-18,Mozambique,Tmcel,80.7,103.77,1098.32
2026-08-18,Mozambique,Movitel,45.25,93.29,573.42
2026-08-19,Tanzania,Tigo Tanzania,65.79,115.83,821.54
2026-08-19,Mozambique,Movitel,57.86,40.17,1647.8
2026-08-19,Kenya,Telkom Kenya,47.0,148.66,7.35
2026-08-19,Kenya,Airtel Kenya,100.52,136.05,1557.43
2026-08-20,Tanzania,Airtel Tanzania,107.92,80.88,2040.57
2026-08-20,Mozambique,Vodacom Mozambique,50.78,91.2,595.97
2026-08-20,Tanzania,Tigo Tanzania,46.23,84.46,1330.34
2026-08-21,South Africa,Vodacom SA,31.11,92.38,237.96
2026-08-21,Kenya,Telkom Kenya,24.67,86.66,377.39
2026-08-22,Kenya,Safaricom,17.93,23.6,487.14
2026-08-23,Zimbabwe,NetOne,67.16,96.02,1871.25
2026-08-23,Mozambique,Tmcel,63.98,138.99,1711.15
2026-08-24,Zimbabwe,Telecel Zimbabwe,23.85,144.9,409.14
2026-08-24,Tanzania,Vodacom Tanzania,97.36,120.95,1698.56
2026-08-24,Kenya,Safaricom,71.44,65.6,1174.16
2026-08-25,Tanzania,Tigo Tanzania,72.43,22.82,1387.34
2026-08-25,Kenya,Telkom Kenya,60.35,90.38,1298.91
2026-08-26,Tanzania,Tigo Tanzania,90.32,160.22,1523.58
2026-08-28,Mozambique,Tmcel,30.81,83.24,260.02
2026-08-28,Tanzania,Vodacom Tanzania,27.97,11.37,1798.77
2026-08-28,Kenya,Telkom Kenya,102.98,175.44,1677.05
2026-08-29,Zimbabwe,NetOne,17.39,16.25,512.05
